Disease_Name,Symptom_List
Hemolytic-uremic syndrome,"['Decreased consciousness ', ' Blood in the stools ', ' Weakness ', ' Vomiting and diarrhea ', ' Lethargy ', ' Seizures -- rare ', ' Low urine output ', ' Irritability ', ' Skin rash that looks like fine red spots (petechiae) ', ' Bruising ', ' No urine output ', ' Pallor ', ' Fever']"
Hemophilia A,"['Bleeding that starts without cause ', ' Nosebleeds ', ' Bleeding into joints with associated pain and swelling ', ' Blood in the urine or stool ', ' Bruising ', ' Prolonged bleeding from cuts, tooth extraction, and surgery ', ' Gastrointestinal tract and urinary tract bleeding']"
Hemophilia B,"['Bleeding that starts without cause ', ' Nosebleeds ', ' Bleeding into joints with associated pain and swelling ', ' Blood in the urine or stool ', ' Bruising ', ' Prolonged bleeding from cuts, tooth extraction, and surgery ', ' Gastrointestinal tract and urinary tract bleeding']"
Hemorrhoids,"['Pain during bowel movements ', ' Anal ache or pain, especially while sitting ', ' Painless bright red blood from the rectum ', ' One or more hard or tender lumps near the anus ', ' Anal itching']"
Hemothorax,"['Rapid, shallow breathing ', ' Restlessness ', ' Shortness of breath ', ' Anxiety ', ' Rapid heart rate ', ' Pale, cool and clammy skin ', ' Low blood pressure (shock)']"
Hepatic ischemia,"['Feeling of general discomfort ', ' Jaundice ', ' Loss of appetite']"
Hepatic vein obstruction (Budd-Chiari),"['Pain in the right upper abdomen ', ' Yellowing of the skin (jaundice) ', ' Abdominal swelling or stretching due to fluid in the abdomen ', ' Vomiting blood']"
Hepatitis,"['Itching ', ' Jaundice (yellowing of the skin or eyes) ', ' Loss of appetite ', ' Fatigue ', ' Nausea and vomiting ', ' Weight loss ', ' Dark urine and pale or clay-colored stools ', ' Pain or bloating in the belly area ', ' Low grade fever']"
Hepatitis A,"['Pale or clay-colored stools ', ' Dark urine ', ' Itching ', ' Low-grade fever ', ' Yellow skin (jaundice) ', ' Loss of appetite ', ' Fatigue ', ' Nausea and vomiting']"
Hepatitis A - children,"['Dark urine ', ' Yellow skin and eyes (jaundice) ', ' Loss of appetite ', ' Nausea and vomiting ', ' Tiredness ', ' Fever ', ' Abdominal pain (over the liver) ', ' Pale stools']"
Hepatitis B,"['Muscle and joint aches ', ' Fatigue ', ' You may become very ill very quickly (called fulminant hepatitis). ', ' You may feel sick for a period of days or weeks. ', ' Appetite loss ', ' Nausea and vomiting ', ' Low fever ', ' Yellow skin and dark urine ', ' You may have no symptoms.']"
Hepatitis B - children,"['Dark urine ', ' Yellow skin and eyes (jaundice) ', ' Fatigue ', ' Nausea and vomiting ', ' Appetite loss ', ' Muscle and joint pain ', ' Low fever']"
Hepatitis C,"['Itching ', ' Dark urine ', ' Clay-colored or pale stools ', ' Loss of appetite ', ' Abdominal swelling due to fluid (ascites) ', ' Jaundice ', ' Fatigue ', ' Nausea and vomiting ', ' Pain in the right upper abdomen ', ' Fever']"
Hepatitis C - children,"['Dark urine ', ' Yellow skin and eyes (jaundice) ', ' Clay-colored or pale stools ', ' Loss of appetite ', ' Nausea and vomiting ', ' Pain in the right upper abdomen ', ' Tiredness ', ' Fever']"
Hepatitis D (Delta agent),"['Vomiting ', ' Loss of appetite ', ' Fatigue ', ' Jaundice ', ' Dark-colored urine ', ' Nausea ', ' Joint pain ', ' Abdominal pain']"
Hepatocerebral degeneration,"['Tremor of the hand when the wrist is extended (also called a flapping tremor or asterixis) ', ' Difficulty walking ', ' Uncontrolled body movements (chorea) ', ' Impaired intellectual function ', ' Twitching ', ' Shaking of arms, head (tremor) ', ' Muscle spasm (myoclonus) ', ' Jaundice ', ' Rigidity ', ' Unsteady walking (ataxia)']"
Hepatorenal syndrome,"['Yellow skin (jaundice, a symptom of liver disease) ', ' Mental confusion ', ' Abdominal swelling due to fluid (called ascites, a symptom of liver disease) ', ' Nausea and vomiting ', ' Dark-colored urineÂ\xa0(a symptom of liver disease) ', ' Muscle jerks ', ' Decreased urine output ', ' Weight gain']"
Hereditary angioedema,"['A non-itchy, red rash ', ' Repeat episodes of abdominal cramping without obvious cause ', ' Airway blockage -- involves throat swelling and sudden hoarseness ', ' Swelling in the hands, arms, legs, lips, eyes, tongue, throat, or genitals ', ' Swelling of the intestines -- can be severe and lead to abdominal cramping, vomiting, dehydration, diarrhea, pain, and occasionally shock']"
Hereditary elliptocytosis,"['Fatigue ', ' Shortness of breath ', ' Yellow skin and eyes (jaundice). May continue for a long time in a newborn.']"
Hereditary fructose intolerance,"['Poor feeding and growth as a baby, failure to thrive ', ' Problems after eating fruits and other foods that contain fructose or sucrose ', ' Yellow skin or whites of the eyes (jaundice) ', ' Vomiting ', ' Excessive sleepiness ', ' Convulsions ', ' Irritability']"
Hereditary hemorrhagic telangiectasia,"['Bleeding in the gastrointestinal tract (GI), including loss of blood in the stool, or dark or black stools ', ' Frequent nosebleeds in children ', ' Enlarged liver ', ' Seizures or unexplained, small strokes (from bleeding into the brain) ', ' Anemia caused by low iron']"
Hereditary spherocytic anemia,"['Shortness of breath ', ' Fatigue ', ' Weakness ', ' Irritability']"
Hereditary urea cycle abnormality,"['Nausea, vomiting ', ' Decreased food intake ', ' Increased sleepiness, difficulty waking up ', ' Dislike of foods that contain proteinÂ ', ' Confusion']"
Hernia,"['Not being able to pass gas or have bowel movements ', ' Nausea and vomiting']"
Herniated disk,"['With a herniated disk in your lower back, you may have sharp pain in one part of the leg, hip, or buttocks, and numbness in other parts. You may also feel pain or numbness on the back of the calf or sole of the foot. The same leg may also feel weak. ', ' With a herniated disk in your neck, you may have pain when moving your neck, deep pain near or over the shoulder blade, or pain that moves to the upper arm, forearm, and fingers. You can also have numbness along your shoulder, elbow, forearm, and fingers. ', ' At night ', ' After standing or sitting ', ' When straining or holding your breath, such as when having a bowel movement ', ' When sneezing, coughing, or laughing ', ' When bending backward or walking more than a few yards or meters']"
Heroin overdose,"['Shallow breathing ', ' Dry mouth ', ' Bluish-colored nails and lipsÂ\xa0(cyanosis) ', ' Constipation ', ' Extremely small pupils, sometimes as small as the head of a pin (pinpoint pupils) ', ' Spasms of the stomach and intestines ', ' Discolored tongue ', ' Delirium (confusion) ', ' Weak pulse ', ' Slow and difficult breathing ', ' Disorientation ', ' Coma (lack of responsiveness) ', ' Low blood pressure ', ' No breathing ', ' Uncontrolled muscle movements ', ' Drowsiness']"
Herpangina,"['Loss of appetite ', ' Headache ', ' Sore throat, or painful swallowing ', ' Fever ', ' Ulcers in the mouth and throat, and similar sores on the feet, hands, and buttocks']"
Herpes - oral,"['Being out in the sun ', ' Burning near the lips or mouth area ', ' Mouth ', ' Tingling near the lips or mouth area ', ' Swollen glands in the face or neck ', ' Red blisters that break open and leak ', ' Lips ', ' Throat ', ' Sore throat ', ' Menstruation or hormone changes ', ' Stress ', ' Painful swallowing ', ' Several smaller blisters that may grow together into a large blister ', ' Fever ', ' Itching of the lips or skin around the mouth ', ' Small blisters filled with clear yellowish fluid ', ' Gums ', ' Yellow and crusty blister as it heals, which eventually turns into pink skin']"
Herpetic stomatitis,"['Fever, often as high as 104Â°FÂ\xa0(40Â°C), which may occur 1 to 2 days before blisters and ulcers appear ', ' Drooling ', ' Irritability ', ' Difficulty swallowing ', ' After blisters pop, they form ulcers in the mouth, often on the tongue or cheeks ', ' Mouth pain ', ' Blisters in the mouth, often on the tongue, cheeks, roof of the mouth, gums, and on the border between the inside of the lip and the skin next to it']"
Hiatal hernia,"['Swallowing difficulty ', ' Chest pain ', ' Heartburn, worse when bending over or lying down']"
High arch,"['Difficulty fitting shoes ', ' Shortened foot length ', ' Foot pain with walking, standing, and running (not everyone has this symptom)']"
High blood pressure and eye disease,"['Double vision, dim vision, or vision loss ', ' Headaches']"
High blood pressure in adults - hypertension,"['Nosebleeds ', ' Nausea and vomiting ', ' Severe headache ', ' Vision changes ', ' Confusion']"
High blood pressure in infants,"['Vomiting ', ' Failure to grow and gain weight ', ' Irritability ', ' Pale skin (pallor) ', ' Rapid breathing ', ' Frequent urinary tract infections ', ' Bluish skin ', ' Trouble breathing']"
High blood sugar - self-care,"['Having blurry vision ', ' Needing to urinate a lot, or needing to get up more often than usual at night to urinate ', ' Being very thirsty or having a dry mouth ', ' Having dry skin ', ' Feeling weak or tired']"
High potassium level,"['Slow, weak, or irregular pulse ', ' Chest pain ', ' Palpitations ', ' Difficulty breathing ', ' Sudden collapse, when the heartbeat gets too slow or even stops ', ' Nausea or vomiting']"
Hip flexor strain - aftercare,"['Do not take more than the amount recommended on the bottle or by your provider. ', ' Gentle stretching to extend your hip can help with recovery. ', ' Talk with your health care provider before using pain medicines if you have heart disease, high blood pressure, kidney disease, or have had stomach ulcers or internal bleeding in the past. ', ' Rest. Stop any activity that causes pain. ', ' Ice the area for 20 minutes every 3 to 4 hours for 2 to 3 days. Do not apply ice directly to your skin. Wrap the ice in a clean cloth first.']"
Hirschsprung disease,"['Swollen belly ', ' Vomiting ', ' Constipation that gradually gets worse ', ' Malnutrition ', ' Jaundice ', ' Poor feeding ', ' Watery diarrhea (in the newborn) ', ' Difficulty with bowel movements ', ' Fecal impaction ', ' Poor weight gain ', ' Failure to pass meconium shortly after birth ', ' Failure to pass a first stool within 24 to 48 hours after birth ', ' Infrequent but explosive stools ', ' Slow growth']"
Histiocytosis,"['Shortness of breath ', ' Jaundice ', ' Headache ', ' Rash ', ' General discomfort, uneasiness, or ill feeling ', ' Seborrheic dermatitis of the scalp ', ' Cough ', ' Frequent urination ', ' Mental decline ', ' Eyes that appear to stick out more and more ', ' Ear drainage that continues long-term ', ' Thirst and increased drinking of fluids ', ' Abdominal pain ', ' Chest pain ', ' Limping ', ' Increased amount of urine ', ' Dizziness ', ' Short stature ', ' Swollen lymph glands ', ' Weight loss ', ' Delayed puberty ', ' Fever ', ' Seizures ', ' Failure to thrive ', ' Vomiting ', ' Bone pain ', ' Irritability']"
Histoplasmosis,"['Fever and chills ', ' Headache and neck stiffness from swelling of the membranes covering of the brain and spinal cord (meningitis) ', ' Chest pain from inflammation of the sac-like covering around the heart (pericarditis) ', ' Cough and chest pain that gets worse when breathing in ', ' Cough, possibly coughing up blood ', ' High fever ', ' Fever and sweating ', ' Chest pain and shortness of breath ', ' Red skin bumps, most often on the lower legs ', ' Joint pain ', ' Mouth sores']"
Histoplasmosis - acute (primary) pulmonary,"['Have had bone marrow or solid organ transplants ', ' Chest pain ', ' Cough ', ' Rash (usually small sores on the lower legs) ', ' Chills ', ' Have HIV/AIDS ', ' Shortness of breath ', ' Severe joint pain ', ' Serious lung infections ', ' Fever ', ' Inflammation around the heart (called pericarditis) ', ' Take medicines that suppress their immune system ', ' Joint pain and stiffness ', ' Muscle aches and stiffness']"
Histrionic personality disorder,"['Blaming failure or disappointment on others ', ' Being overly concerned with their looks ', ' Needing to be the center of attention (self-centeredness) ', ' Being easily influenced by other people ', ' Having a low tolerance for frustration or delayed gratification ', ' Believing that relationships are more intimate than they actually are ', ' Being overly dramatic and emotional ', ' Constantly seeking reassurance or approval ', ' Being overly sensitive to criticism or disapproval ', ' Quickly changing emotions, which may seem shallow to others ', ' Acting or looking overly seductive']"
HIV/AIDS,"['Fungi ', ' Bacteria ', ' Vomiting ', ' Night sweats ', ' Fever and muscle pains ', ' Swallowing problems ', ' Swollen lymph glands ', ' Sweats ', ' Headache ', ' Weight loss ', ' Sore throat ', ' Viruses ', ' Diarrhea ', ' Protozoa ', ' Fever ', ' Rashes ', ' Abdominal pain ', ' Mouth sores, including yeast infection (thrush)']"
